"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.242847920E-1,-2.314845622E-1,3.640059382E-2,-1.333656609E-1,2.696228945E-1
3.267297400E-1,-2.412583977E-1,5.167221278E-2,-1.321439296E-1,2.798886389E-1
3.291739070E-1,-2.284302413E-1,7.488507032E-2,-1.315330714E-1,2.740239000E-1
3.316189070E-1,-2.375932187E-1,8.404804766E-2,-1.303113401E-1,2.837175660E-1
3.340646360E-1,-2.296519727E-1,1.035957187E-1,-1.284787357E-1,2.828053872E-1
3.365096360E-1,-2.333171517E-1,1.090935022E-1,-1.278678775E-1,2.875560460E-1
3.389538030E-1,-2.351497561E-1,1.200890541E-1,-1.284787357E-1,2.936385094E-1
3.413987510E-1,-2.327062935E-1,1.274194419E-1,-1.278678775E-1,2.945133737E-1
3.438445320E-1,-2.412583977E-1,1.310846210E-1,-1.284787357E-1,3.031428340E-1
3.462894800E-1,-2.327062935E-1,1.390258670E-1,-1.266461462E-1,2.991983574E-1
3.487336470E-1,-2.516431212E-1,1.390258670E-1,-1.284787357E-1,3.148955981E-1
3.511785950E-1,-2.437018603E-1,1.487997025E-1,-1.278678775E-1,3.128612189E-1
3.536243760E-1,-2.608060837E-1,1.469671130E-1,-1.272570193E-1,3.252898624E-1
3.560693240E-1,-2.595843673E-1,1.561300755E-1,-1.254244149E-1,3.278596164E-1
3.585134900E-1,-2.705799341E-1,1.524648964E-1,-1.223700941E-1,3.338165444E-1
3.609584900E-1,-2.772994339E-1,1.573518068E-1,-1.199266464E-1,3.406419934E-1
3.634042200E-1,-2.803537548E-1,1.604061276E-1,-1.144288629E-1,3.426694008E-1
3.658491670E-1,-2.968471050E-1,1.604061276E-1,-1.101528108E-1,3.549393910E-1
3.682933860E-1,-2.937927842E-1,1.634604484E-1,-1.028224379E-1,3.515764099E-1
3.707383340E-1,-3.127295971E-1,1.567409486E-1,-9.610292315E-2,3.627716881E-1
3.731840630E-1,-3.090643883E-1,1.591843963E-1,-8.816167712E-2,3.586543593E-1
3.756290630E-1,-3.273903430E-1,1.481888443E-1,-8.022044599E-2,3.682114748E-1
3.780732300E-1,-3.267794847E-1,1.475779712E-1,-7.289005816E-2,3.658921287E-1
3.805181780E-1,-3.377750516E-1,1.365824044E-1,-6.372709572E-2,3.698754944E-1
3.829639590E-1,-3.444945514E-1,1.310846210E-1,-5.639671162E-2,3.728810305E-1
3.854089070E-1,-3.487706184E-1,1.206999272E-1,-4.662287608E-2,3.719988028E-1
3.878530740E-1,-3.634313643E-1,1.084826291E-1,-3.807077184E-2,3.811826610E-1
3.902980220E-1,-3.615987599E-1,1.011522561E-1,-2.768607065E-2,3.764996156E-1
3.927438030E-1,-3.817572892E-1,8.588063717E-2,-1.852310263E-2,3.917361574E-1
3.951887510E-1,-3.780921102E-1,8.221544325E-2,-8.138401434E-3,3.870132510E-1
3.976329170E-1,-3.976397812E-1,6.633296609E-2,4.078893457E-3,4.031551753E-1
4.000779170E-1,-3.988615274E-1,6.511123478E-2,1.507445797E-2,4.044220942E-1
4.025236470E-1,-4.092462063E-1,5.472653359E-2,2.973521128E-2,4.139584926E-1
4.049685950E-1,-4.177983105E-1,5.594826490E-2,4.378510267E-2,4.237956723E-1
4.074127610E-1,-4.226852357E-1,5.472653359E-2,5.844585598E-2,4.302019527E-1
4.098577610E-1,-4.361242652E-1,5.655913055E-2,7.432833314E-2,4.460134651E-1
4.123034900E-1,-4.312373400E-1,6.938728690E-2,9.204341471E-2,4.463767794E-1
4.147484900E-1,-4.471198320E-1,7.855026424E-2,1.085367650E-1,4.667617353E-1
4.171926570E-1,-4.422329068E-1,1.035957187E-1,1.311387420E-1,4.727572172E-1
4.196376050E-1,-4.575045109E-1,1.219216585E-1,1.525190324E-1,4.974307223E-1
4.220833860E-1,-4.513958693E-1,1.573518068E-1,1.745101660E-1,5.088925426E-1
4.245283340E-1,-4.581153989E-1,1.830081195E-1,1.989447474E-1,5.319217076E-1
4.269725010E-1,-4.544501901E-1,2.208817452E-1,2.239902020E-1,5.527072744E-1
4.294174490E-1,-4.471198320E-1,2.526466846E-1,2.496465296E-1,5.710252894E-1
4.318632300E-1,-4.471198320E-1,2.862442434E-1,2.728593647E-1,5.969121744E-1
4.343081780E-1,-4.300156236E-1,3.253395855E-1,3.003482819E-1,6.172263546E-1
4.367523450E-1,-4.336808026E-1,3.595480025E-1,3.235611320E-1,6.496503758E-1
4.391973450E-1,-4.110788107E-1,4.029194117E-1,3.498283327E-1,6.735797675E-1
4.416430740E-1,-4.110788107E-1,4.334626496E-1,3.724303246E-1,7.039744341E-1
4.440880220E-1,-3.933637440E-1,4.762232006E-1,3.956431746E-1,7.335237512E-1
4.465322400E-1,-3.896985352E-1,5.079881549E-1,4.158017039E-1,7.634186079E-1
4.489771880E-1,-3.780921102E-1,5.476943851E-1,4.347385168E-1,7.949341867E-1
