"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.493997041E0,1.996107101E1,2.875395203E1,2.230012131E1,4.150336762E1
2.503997041E0,2.257852936E1,2.789529419E1,2.144658470E1,4.180781531E1
2.513997041E0,2.319284439E1,2.878676605E1,2.129677582E1,4.266308230E1
2.523997041E0,2.350160599E1,2.761911774E1,2.178227234E1,4.230376504E1
2.533997041E0,2.381111908E1,2.615201187E1,2.196172333E1,4.163189172E1
2.543997041E0,2.258272552E1,2.682637024E1,1.898283577E1,3.987457443E1
2.553997041E0,2.381139374E1,2.745089340E1,2.008951759E1,4.152255697E1
2.563997041E0,2.504616547E1,2.698101807E1,1.703038406E1,4.056254087E1
2.573997041E0,2.458560944E1,2.652715302E1,1.671465302E1,3.984371549E1
2.583997041E0,2.596612167E1,2.848301697E1,1.796445847E1,4.252344645E1
2.593997041E0,2.597286224E1,2.680129242E1,1.396022797E1,3.984704272E1
2.603997041E0,2.735308456E1,2.847159958E1,1.583238792E1,4.253807383E1
2.613997041E0,2.658505630E1,2.786565781E1,1.551077271E1,4.151920247E1
2.623997041E0,2.658505630E1,2.786565781E1,1.551077271E1,4.151920247E1
2.633997041E0,2.396589661E1,3.033887100E1,1.588127518E1,4.179744245E1
2.643997041E0,2.550484467E1,3.093332481E1,1.467455673E1,4.269321141E1
2.653997041E0,2.442884064E1,2.916891861E1,1.606110573E1,4.129834361E1
2.663997041E0,2.427600479E1,3.031111145E1,1.372261047E1,4.118735151E1
2.673997041E0,2.288798141E1,3.134976196E1,1.553322983E1,4.180847399E1
2.683997041E0,2.334810638E1,3.224353790E1,1.568908882E1,4.278933648E1
2.693997041E0,2.334891510E1,3.165390015E1,1.569593811E1,4.234977809E1
2.703997041E0,2.226976395E1,3.094452095E1,1.861783409E1,4.242793313E1
2.713997041E0,2.211823654E1,2.975365067E1,1.800879669E1,4.121665772E1
2.723997041E0,2.134865189E1,3.003679657E1,1.798637581E1,4.100589958E1
2.733997041E0,2.150103378E1,2.947959900E1,2.000855637E1,4.161350188E1
2.743997041E0,2.103807449E1,2.978131866E1,2.092213440E1,4.203883000E1
2.753997041E0,2.288511658E1,2.907228851E1,2.097628784E1,4.253153150E1
2.763997041E0,2.227324295E1,2.814838028E1,1.895982933E1,4.059438129E1
2.773997041E0,2.488763809E1,2.790946579E1,2.011097717E1,4.245920646E1
2.783997041E0,2.427293015E1,2.731280518E1,2.025736046E1,4.177948201E1
2.793997041E0,2.580935669E1,2.837496567E1,2.074757195E1,4.360875269E1
2.803997041E0,2.580935669E1,2.837496567E1,2.074757195E1,4.360875269E1
2.813997041E0,2.581405258E1,2.556261063E1,2.000643349E1,4.147372365E1
2.823997041E0,2.581405258E1,2.556261063E1,2.000643349E1,4.147372365E1
2.833997041E0,2.442557144E1,2.718626404E1,2.150073814E1,4.240263239E1
2.843997041E0,2.504473495E1,2.627640152E1,1.920520973E1,4.106736060E1
2.853997041E0,2.350578308E1,2.756352615E1,1.806867218E1,4.048143682E1
2.863997041E0,2.488920212E1,2.788862228E1,1.871837807E1,4.180460875E1
2.873997041E0,2.627736282E1,2.612450790E1,1.768998528E1,4.106002057E1
2.883997041E0,2.704714584E1,2.569395447E1,1.771411705E1,4.129790960E1
2.893997041E0,2.796763992E1,2.805723572E1,1.709058762E1,4.314493648E1
2.903997041E0,2.689447784E1,2.596558762E1,1.631429482E1,4.078824456E1
2.913997041E0,2.612611008E1,2.623252106E1,1.520874023E1,4.002529910E1
2.923997041E0,2.581454086E1,2.758232880E1,1.704253197E1,4.144421887E1
2.933997041E0,2.457868576E1,3.009276962E1,1.853036499E1,4.304719508E1
2.943997041E0,2.412116623E1,2.916424942E1,1.605350685E1,4.111081593E1
