"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.525100680E-1,9.699235916E0,-3.312546968E0,4.363796711E0,1.113960801E1
2.549148070E-1,9.723176956E0,-3.353246927E0,4.828251839E0,1.136206191E1
2.573186090E-1,9.790211678E0,-3.377187729E0,5.362135887E0,1.166216716E1
2.597229840E-1,9.854851723E0,-3.384370089E0,4.284791470E0,1.126638812E1
2.621270470E-1,9.797393799E0,-3.456192970E0,5.675762653E0,1.183843219E1
2.645306410E-1,9.866822243E0,-3.434646368E0,4.435619831E0,1.135014097E1
2.669347030E-1,9.826122284E0,-3.518439531E0,4.876133919E0,1.151992959E1
2.693390780E-1,9.852458000E0,-3.535198212E0,5.132302284E0,1.165800505E1
2.717436610E-1,9.876399040E0,-3.556745291E0,3.980741024E0,1.122675350E1
2.741478280E-1,9.797393799E0,-3.657297373E0,5.256795406E0,1.170464212E1
2.765517340E-1,9.806969643E0,-3.616597891E0,3.729360580E0,1.109795315E1
2.789562130E-1,9.670506477E0,-3.707573652E0,4.272820950E0,1.120365105E1
2.813602240E-1,9.603471756E0,-3.717149734E0,4.177056789E0,1.111268083E1
2.837639740E-1,9.476584435E0,-3.753061295E0,3.020707607E0,1.063088877E1
2.861683490E-1,9.301815987E0,-3.793761015E0,4.327885151E0,1.093832680E1
2.885724630E-1,9.203657150E0,-3.765031815E0,2.726233482E0,1.031092229E1
2.909770470E-1,8.990582466E0,-3.839248896E0,3.513891697E0,1.038835117E1
2.933811090E-1,8.878059387E0,-3.815307856E0,3.310393333E0,1.021446115E1
2.957845470E-1,8.743990898E0,-3.796154976E0,2.424576759E0,9.835992166E0
2.981891300E-1,8.588374138E0,-3.834460735E0,3.748513699E0,1.012495009E1
3.005932450E-1,8.564433098E0,-3.748273134E0,2.137285233E0,9.589945461E0
3.029969430E-1,8.442333221E0,-3.791366816E0,3.142806530E0,9.773673078E0
3.054011610E-1,8.425574303E0,-3.729120255E0,2.769327164E0,9.621112885E0
3.078052760E-1,8.363328934E0,-3.702785254E0,2.067856312E0,9.377202099E0
3.102098070E-1,8.348963737E0,-3.748273134E0,3.317575932E0,9.734529112E0
3.126140260E-1,8.360934258E0,-3.652508974E0,1.701558948E0,9.281236249E0
3.150177760E-1,8.286717415E0,-3.693208933E0,2.845938206E0,9.508356430E0
3.174224630E-1,8.332205772E0,-3.647721052E0,2.316842556E0,9.386121741E0
3.198270990E-1,8.320234299E0,-3.635750532E0,1.804505229E0,9.257495333E0
3.222314220E-1,8.281929016E0,-3.626173973E0,2.927337646E0,9.503093791E0
